league_id,team_id,name,alternate_name
3,101029,Deportivo Alavés,ala
3,101030,Real Betis Balompié,bet
3,101031,Getafe CF,get
3,101032,Las Palmas,pal
3,101033,RCD Espanyol de Barcelona,esp
3,101034,Real Madrid CF,rea
3,101035,Girona FC,gir
3,101036,CA Osasuna,osa
3,101037,RCD Mallorca,mal
3,101038,Villarreal CF,vil
3,101039,Leganes,leg
3,101040,Sevilla FC,sev
3,101042,FC Barcelona,bar
3,101043,Club Atlético de Madrid,mad
3,101044,RC Celta de Vigo,cel
3,101045,Real Sociedad de Fútbol,rso
3,101046,Rayo Vallecano de Madrid,ray
3,101047,Athletic Club,bil
3,101095,Valencia CF,val
3,101105,Valladolid,vll
3,114296,Real Oviedo,ovi
3,114297,Elche CF,elc
3,114298,Levante UD,lev
